sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,after,0.000150547,0.0744802,0.0291,0.000120087,0.40450352
40-50-16,after,0.000436256,0.135934,0.0763,0.000374837,0.329499239
40-50-16,after,1.54E-05,0.0358042,0.0028,9.41E-06,0.770038334
40-50-16,after,0.00118899,0.154887,0.2052,0.000897515,0.219281091
40-50-16,after,0.0104866,0.663792,1.7005,0.008848156,0.121658557
40-50-16,after,7.69E-06,0.0260993,0.0012,3.06E-06,0.848641715
40-50-16,after,0.000126371,0.0886498,0.0233,8.74E-05,0.408885384
40-50-16,after,0.000739547,0.184543,0.1271,0.000620334,0.276750868
40-50-16,after,1.32E-05,0.0370612,0.0027,6.27E-06,0.609012016
40-50-16,after,8.79E-06,0.0343719,0.0012,2.00E-06,0.64048599
40-50-16,after,7.14E-05,0.0520846,0.0136,4.49E-05,0.448917765
40-50-16,after,0.000429663,0.0982818,0.0711,0.000329032,0.324170469
40-50-16,after,0.000018681,0.0540997,0.0039,8.72E-06,0.525151018
40-50-16,after,5.49E-06,0.0246311,0.0005,4.27E-07,0.548760665
40-50-16,after,1.65E-05,0.0459804,0.0028,6.47E-06,0.599567158
40-50-16,after,0.00478343,0.878199,0.7767,0.003902303,0.154328037
40-50-16,after,0.000125272,0.0541001,0.0197,6.07E-05,0.379126318
40-50-16,after,0.000985696,0.10538,0.1668,0.000687749,0.225895801
40-50-16,after,9.89E-06,0.0429418,0.0013,1.50E-06,0.487854232
40-50-16,after,0.00089339,0.219095,0.1401,0.000754749,0.286141524
40-50-16,after,0.000331862,0.0747469,0.0571,0.000170244,0.260153711
40-50-16,after,0.00211754,0.281165,0.3321,0.00207105,0.236596857
40-50-16,after,9.78E-05,0.0651289,0.0199,7.76E-05,0.442230271
40-50-16,after,0.00101537,0.417154,0.1709,0.000763972,0.236479532
40-50-16,after,0.00405048,0.29233,0.6308,0.003530709,0.177759873
40-50-16,after,5.49E-06,0.0271495,0.0009,1.64E-06,0.746959021
40-50-16,after,0.00100108,0.292213,0.1857,0.000389511,0.138894589
40-50-16,after,4.51E-05,0.0688437,0.0077,2.77E-05,0.575402751
40-50-16,after,5.49E-06,0.0249091,0.001,2.07E-06,0.785016648
40-50-16,after,0.00533836,0.82996,0.8613,0.004632003,0.156018311
40-50-16,after,1.65E-05,0.040894,0.0029,6.30E-06,0.568720664
40-50-16,after,0.000168129,0.0626009,0.0301,0.00010072,0.347798155
40-50-16,after,9.89E-05,0.0528026,0.0183,5.12E-05,0.364300825
40-50-16,after,3.19E-05,0.0508445,0.0048,1.34E-05,0.56956616
40-50-16,after,2.42E-05,0.0466492,0.0048,1.24E-05,0.53837499
40-50-16,after,0.000202194,0.0895401,0.0324,0.000173131,0.463648817
40-50-16,after,0.000129668,0.0973069,0.0224,7.42E-05,0.381092036
40-50-16,after,1.43E-05,0.0337899,0.0024,5.48E-06,0.626646375
40-50-16,after,0.00342851,0.828601,0.5609,0.002767661,0.169957626
40-50-16,after,9.89E-06,0.0289373,0.0012,1.40E-06,0.504588578
40-50-16,after,0.000436256,0.0927151,0.0703,0.000371127,0.355257833
40-50-16,after,0.00033406,0.101424,0.055,0.000280004,0.376326155
40-50-16,after,9.89E-06,0.0314368,0.0016,3.56E-06,0.704920997
40-50-16,after,3.08E-05,0.0673631,0.0046,6.58E-06,0.368969285
40-50-16,after,2.31E-05,0.0492807,0.0035,6.78E-06,0.495076723
40-50-16,after,9.34E-05,0.069329,0.017,4.62E-05,0.366199548
40-50-16,after,3.30E-05,0.0418666,0.0067,1.92E-05,0.518106646
40-50-16,after,0.000768118,0.144842,0.1327,0.000508,0.232018364
40-50-16,after,7.69E-06,0.0312015,0.0009,1.10E-06,0.574089282
40-50-16,after,2.31E-05,0.0574147,0.0037,1.18E-05,0.675738384
40-50-16,after,6.59E-06,0.0325023,0.0011,2.31E-06,0.768539294
40-50-16,after,0.000128569,0.0900284,0.0219,8.93E-05,0.441196157
40-50-16,after,5.49E-06,0.0271495,0.0008,1.45E-06,0.775393348
40-50-16,after,8.57E-05,0.0586585,0.0152,5.69E-05,0.470631753
40-50-16,after,9.89E-06,0.0305751,0.0017,3.38E-06,0.640694716
40-50-16,after,2.86E-05,0.0628252,0.0056,1.68E-05,0.565742591
40-50-16,after,6.59E-06,0.0242042,0.0011,2.24E-06,0.752175109
40-50-16,after,6.59E-06,0.0249025,0.001,2.15E-06,0.805285413
